dest,distance,date,flightnumber,origin,weather,dayweek,daymonth,delay
EWR,169,1/2/2004,2403,BWI,0,5,2,ontime
EWR,199,1/2/2004,814,DCA,0,5,2,ontime
EWR,199,1/2/2004,808,DCA,0,5,2,ontime
EWR,199,1/2/2004,806,DCA,0,5,2,ontime
EWR,213,1/2/2004,7299,IAD,0,5,2,ontime
EWR,213,1/2/2004,7303,IAD,0,5,2,delayed
EWR,213,1/2/2004,7307,IAD,0,5,2,delayed
EWR,213,1/2/2004,7371,IAD,0,5,2,ontime
EWR,199,1/2/2004,2181,DCA,0,5,2,ontime
EWR,213,1/2/2004,2855,IAD,0,5,2,ontime
EWR,199,1/2/2004,2582,DCA,0,5,2,ontime
EWR,199,1/2/2004,2761,DCA,0,5,2,ontime
EWR,213,1/2/2004,2497,IAD,0,5,2,ontime
EWR,213,1/2/2004,2385,IAD,0,5,2,ontime
EWR,213,1/2/2004,2692,IAD,0,5,2,ontime
EWR,213,1/2/2004,3276,IAD,0,5,2,ontime
EWR,199,1/2/2004,2336,DCA,0,5,2,ontime
EWR,199,1/2/2004,2879,DCA,0,5,2,ontime
EWR,199,1/2/2004,2216,DCA,0,5,2,ontime
EWR,213,1/2/2004,2156,IAD,0,5,2,delayed
EWR,199,1/2/2004,2261,DCA,0,5,2,ontime
LGA,229,1/3/2004,7208,IAD,0,6,3,ontime
LGA,229,1/3/2004,7215,IAD,0,6,3,ontime
LGA,229,1/3/2004,7790,IAD,0,6,3,ontime
LGA,229,1/3/2004,7792,IAD,0,6,3,ontime
JFK,228,1/3/2004,7800,IAD,0,6,3,ontime
JFK,228,1/3/2004,7806,IAD,0,6,3,ontime
JFK,228,1/3/2004,7808,IAD,0,6,3,ontime
JFK,228,1/3/2004,7810,IAD,0,6,3,ontime
JFK,228,1/3/2004,7812,IAD,0,6,3,ontime
JFK,228,1/3/2004,7814,IAD,0,6,3,delayed
JFK,228,1/3/2004,7816,IAD,0,6,3,ontime
LGA,229,1/3/2004,7924,IAD,0,6,3,ontime
JFK,213,1/3/2004,746,DCA,0,6,3,delayed
LGA,214,1/3/2004,1744,DCA,0,6,3,ontime
LGA,214,1/3/2004,1748,DCA,0,6,3,ontime
LGA,214,1/3/2004,1752,DCA,0,6,3,ontime
LGA,214,1/3/2004,1756,DCA,0,6,3,ontime
LGA,214,1/3/2004,1760,DCA,0,6,3,ontime
LGA,214,1/3/2004,1764,DCA,0,6,3,ontime
LGA,214,1/3/2004,1768,DCA,0,6,3,ontime
JFK,213,1/3/2004,4752,DCA,0,6,3,delayed
JFK,213,1/3/2004,4760,DCA,0,6,3,ontime
JFK,213,1/3/2004,4784,DCA,0,6,3,ontime
LGA,214,1/3/2004,4956,DCA,0,6,3,ontime
LGA,214,1/3/2004,4964,DCA,0,6,3,ontime
LGA,229,1/3/2004,846,IAD,0,6,3,ontime
LGA,214,1/3/2004,2160,DCA,0,6,3,ontime
LGA,214,1/3/2004,2164,DCA,0,6,3,ontime
LGA,214,1/3/2004,2168,DCA,0,6,3,ontime
LGA,214,1/3/2004,2172,DCA,0,6,3,ontime
LGA,214,1/3/2004,2176,DCA,0,6,3,ontime
LGA,214,1/3/2004,2180,DCA,0,6,3,ontime
LGA,214,1/3/2004,2184,DCA,0,6,3,ontime
EWR,169,1/3/2004,2675,BWI,0,6,3,ontime
EWR,169,1/3/2004,2703,BWI,0,6,3,ontime
EWR,169,1/3/2004,2303,BWI,0,6,3,ontime
EWR,169,1/3/2004,2267,BWI,0,6,3,ontime
EWR,199,1/3/2004,808,DCA,0,6,3,ontime
EWR,213,1/3/2004,7299,IAD,0,6,3,delayed
EWR,213,1/3/2004,7302,IAD,0,6,3,ontime
EWR,213,1/3/2004,7303,IAD,0,6,3,delayed
EWR,213,1/3/2004,7304,IAD,0,6,3,ontime
EWR,213,1/3/2004,7371,IAD,0,6,3,ontime
EWR,213,1/3/2004,2497,IAD,0,6,3,ontime
EWR,199,1/3/2004,2216,DCA,0,6,3,ontime
EWR,213,1/3/2004,2855,IAD,0,6,3,ontime
EWR,199,1/3/2004,2582,DCA,0,6,3,ontime
EWR,199,1/3/2004,2097,DCA,0,6,3,ontime
EWR,199,1/3/2004,2181,DCA,0,6,3,ontime
EWR,213,1/3/2004,2156,IAD,0,6,3,ontime
EWR,199,1/3/2004,2761,DCA,0,6,3,ontime
JFK,184,1/4/2004,5935,BWI,0,7,4,delayed
JFK,213,1/4/2004,6155,DCA,0,7,4,ontime
LGA,229,1/4/2004,7208,IAD,0,7,4,ontime
LGA,229,1/4/2004,7211,IAD,0,7,4,delayed
LGA,229,1/4/2004,7215,IAD,0,7,4,delayed
LGA,229,1/4/2004,7790,IAD,0,7,4,ontime
LGA,229,1/4/2004,7792,IAD,0,7,4,ontime
JFK,228,1/4/2004,7800,IAD,0,7,4,ontime
JFK,228,1/4/2004,7806,IAD,0,7,4,ontime
JFK,228,1/4/2004,7808,IAD,0,7,4,ontime
JFK,228,1/4/2004,7810,IAD,0,7,4,ontime
JFK,228,1/4/2004,7812,IAD,0,7,4,ontime
JFK,228,1/4/2004,7814,IAD,0,7,4,ontime
JFK,228,1/4/2004,7816,IAD,0,7,4,ontime
LGA,229,1/4/2004,7924,IAD,0,7,4,ontime
JFK,213,1/4/2004,746,DCA,0,7,4,ontime
LGA,214,1/4/2004,1744,DCA,0,7,4,ontime
LGA,214,1/4/2004,1748,DCA,0,7,4,ontime
LGA,214,1/4/2004,1752,DCA,0,7,4,ontime
LGA,214,1/4/2004,1756,DCA,0,7,4,ontime
LGA,214,1/4/2004,1760,DCA,0,7,4,ontime
LGA,214,1/4/2004,1764,DCA,0,7,4,ontime
LGA,214,1/4/2004,1768,DCA,0,7,4,ontime
JFK,213,1/4/2004,4752,DCA,0,7,4,delayed
JFK,213,1/4/2004,4760,DCA,0,7,4,ontime
JFK,213,1/4/2004,4771,DCA,0,7,4,ontime
JFK,213,1/4/2004,4784,DCA,0,7,4,delayed
LGA,214,1/4/2004,4964,DCA,0,7,4,ontime
LGA,214,1/4/2004,4968,DCA,0,7,4,delayed
LGA,214,1/4/2004,4972,DCA,0,7,4,ontime
LGA,214,1/4/2004,4976,DCA,0,7,4,delayed
LGA,229,1/4/2004,846,IAD,0,7,4,ontime
LGA,214,1/4/2004,2164,DCA,0,7,4,ontime
LGA,214,1/4/2004,2166,DCA,0,7,4,ontime
LGA,214,1/4/2004,2168,DCA,0,7,4,ontime
LGA,214,1/4/2004,2170,DCA,0,7,4,ontime
LGA,214,1/4/2004,2172,DCA,0,7,4,ontime
LGA,214,1/4/2004,2174,DCA,0,7,4,ontime
LGA,214,1/4/2004,2176,DCA,0,7,4,ontime
LGA,214,1/4/2004,2178,DCA,0,7,4,ontime
LGA,214,1/4/2004,2180,DCA,0,7,4,ontime
LGA,214,1/4/2004,2182,DCA,0,7,4,ontime
LGA,214,1/4/2004,2184,DCA,0,7,4,ontime
LGA,214,1/4/2004,2186,DCA,0,7,4,ontime
LGA,214,1/4/2004,2188,DCA,0,7,4,ontime
EWR,169,1/4/2004,2403,BWI,0,7,4,delayed
EWR,169,1/4/2004,2703,BWI,0,7,4,delayed
EWR,169,1/4/2004,2603,BWI,0,7,4,delayed
EWR,169,1/4/2004,2303,BWI,0,7,4,delayed
EWR,199,1/4/2004,808,DCA,0,7,4,ontime
EWR,199,1/4/2004,810,DCA,0,7,4,delayed
EWR,213,1/4/2004,7299,IAD,0,7,4,ontime
EWR,213,1/4/2004,7302,IAD,0,7,4,delayed
EWR,213,1/4/2004,7303,IAD,0,7,4,delayed
EWR,213,1/4/2004,7304,IAD,0,7,4,delayed
EWR,213,1/4/2004,7307,IAD,0,7,4,delayed
EWR,199,1/4/2004,2097,DCA,0,7,4,delayed
EWR,199,1/4/2004,2582,DCA,0,7,4,ontime
EWR,213,1/4/2004,3276,IAD,0,7,4,ontime
EWR,213,1/4/2004,2385,IAD,0,7,4,delayed
EWR,199,1/4/2004,2216,DCA,0,7,4,delayed
EWR,199,1/4/2004,2336,DCA,0,7,4,delayed
EWR,213,1/4/2004,2156,IAD,0,7,4,delayed
JFK,184,1/5/2004,5935,BWI,0,1,5,delayed
JFK,213,1/5/2004,6155,DCA,0,1,5,delayed
LGA,229,1/5/2004,7208,IAD,0,1,5,delayed
LGA,229,1/5/2004,7211,IAD,0,1,5,delayed
LGA,229,1/5/2004,7215,IAD,0,1,5,delayed
LGA,229,1/5/2004,7790,IAD,0,1,5,delayed
LGA,229,1/5/2004,7792,IAD,0,1,5,ontime
JFK,228,1/5/2004,7800,IAD,0,1,5,delayed
JFK,228,1/5/2004,7806,IAD,0,1,5,delayed
JFK,228,1/5/2004,7810,IAD,0,1,5,ontime
JFK,228,1/5/2004,7812,IAD,0,1,5,ontime
JFK,228,1/5/2004,7814,IAD,0,1,5,delayed
JFK,228,1/5/2004,7816,IAD,0,1,5,delayed
LGA,229,1/5/2004,7924,IAD,0,1,5,ontime
JFK,213,1/5/2004,746,DCA,0,1,5,ontime
LGA,214,1/5/2004,1740,DCA,0,1,5,ontime
LGA,214,1/5/2004,1742,DCA,0,1,5,ontime
LGA,214,1/5/2004,1744,DCA,0,1,5,ontime
LGA,214,1/5/2004,1746,DCA,0,1,5,ontime
LGA,214,1/5/2004,1748,DCA,0,1,5,ontime
LGA,214,1/5/2004,1750,DCA,0,1,5,ontime
LGA,214,1/5/2004,1752,DCA,0,1,5,ontime
LGA,214,1/5/2004,1754,DCA,0,1,5,ontime
LGA,214,1/5/2004,1756,DCA,0,1,5,ontime
LGA,214,1/5/2004,1760,DCA,0,1,5,ontime
LGA,214,1/5/2004,1762,DCA,0,1,5,ontime
LGA,214,1/5/2004,1764,DCA,0,1,5,ontime
LGA,214,1/5/2004,1766,DCA,0,1,5,delayed
LGA,214,1/5/2004,1768,DCA,0,1,5,ontime
JFK,213,1/5/2004,4752,DCA,0,1,5,ontime
JFK,213,1/5/2004,4760,DCA,0,1,5,ontime
LGA,214,1/5/2004,4952,DCA,0,1,5,ontime
LGA,214,1/5/2004,4954,DCA,0,1,5,ontime
LGA,214,1/5/2004,4956,DCA,0,1,5,ontime
LGA,214,1/5/2004,4960,DCA,0,1,5,ontime
LGA,214,1/5/2004,4964,DCA,0,1,5,ontime
LGA,214,1/5/2004,4970,DCA,0,1,5,delayed
LGA,214,1/5/2004,4972,DCA,0,1,5,ontime
LGA,214,1/5/2004,4976,DCA,0,1,5,delayed
LGA,229,1/5/2004,846,IAD,0,1,5,ontime
LGA,214,1/5/2004,1479,DCA,0,1,5,delayed
LGA,214,1/5/2004,2160,DCA,0,1,5,ontime
LGA,214,1/5/2004,2162,DCA,0,1,5,ontime
LGA,214,1/5/2004,2164,DCA,0,1,5,ontime
LGA,214,1/5/2004,2166,DCA,0,1,5,ontime
LGA,214,1/5/2004,2168,DCA,0,1,5,ontime
LGA,214,1/5/2004,2170,DCA,0,1,5,ontime
LGA,214,1/5/2004,2172,DCA,0,1,5,ontime
LGA,214,1/5/2004,2174,DCA,0,1,5,ontime
LGA,214,1/5/2004,2176,DCA,0,1,5,ontime
LGA,214,1/5/2004,2178,DCA,0,1,5,ontime
LGA,214,1/5/2004,2180,DCA,0,1,5,ontime
LGA,214,1/5/2004,2182,DCA,0,1,5,ontime
LGA,214,1/5/2004,2184,DCA,0,1,5,ontime
LGA,214,1/5/2004,2186,DCA,0,1,5,ontime
LGA,214,1/5/2004,2188,DCA,0,1,5,ontime
EWR,169,1/5/2004,2703,BWI,0,1,5,delayed
EWR,169,1/5/2004,2403,BWI,0,1,5,delayed
EWR,169,1/5/2004,2303,BWI,0,1,5,delayed
EWR,199,1/5/2004,808,DCA,0,1,5,delayed
EWR,199,1/5/2004,806,DCA,0,1,5,ontime
EWR,199,1/5/2004,814,DCA,0,1,5,delayed
EWR,213,1/5/2004,7299,IAD,0,1,5,ontime
EWR,213,1/5/2004,7302,IAD,0,1,5,delayed
EWR,213,1/5/2004,7303,IAD,0,1,5,delayed
EWR,213,1/5/2004,7304,IAD,0,1,5,delayed
EWR,213,1/5/2004,7307,IAD,0,1,5,delayed
EWR,213,1/5/2004,7371,IAD,0,1,5,ontime
EWR,199,1/5/2004,2761,DCA,0,1,5,ontime
EWR,199,1/5/2004,2582,DCA,0,1,5,delayed
EWR,213,1/5/2004,2692,IAD,0,1,5,delayed
EWR,199,1/5/2004,2879,DCA,0,1,5,ontime
EWR,213,1/5/2004,2855,IAD,0,1,5,ontime
EWR,199,1/5/2004,2216,DCA,0,1,5,delayed
EWR,199,1/5/2004,2336,DCA,0,1,5,delayed
EWR,213,1/5/2004,2156,IAD,0,1,5,delayed
EWR,213,1/5/2004,3276,IAD,0,1,5,ontime
EWR,199,1/5/2004,2261,DCA,0,1,5,delayed
JFK,184,1/6/2004,5935,BWI,0,2,6,ontime
LGA,229,1/6/2004,7208,IAD,0,2,6,ontime
LGA,229,1/6/2004,7211,IAD,0,2,6,ontime
LGA,229,1/6/2004,7215,IAD,0,2,6,ontime
LGA,229,1/6/2004,7790,IAD,0,2,6,ontime
LGA,229,1/6/2004,7792,IAD,0,2,6,ontime
JFK,228,1/6/2004,7800,IAD,0,2,6,ontime
JFK,228,1/6/2004,7806,IAD,0,2,6,ontime
JFK,228,1/6/2004,7808,IAD,0,2,6,ontime
JFK,228,1/6/2004,7810,IAD,0,2,6,ontime
JFK,228,1/6/2004,7812,IAD,0,2,6,delayed
JFK,228,1/6/2004,7814,IAD,0,2,6,delayed
JFK,228,1/6/2004,7816,IAD,0,2,6,ontime
LGA,229,1/6/2004,7924,IAD,0,2,6,ontime
JFK,213,1/6/2004,746,DCA,0,2,6,ontime
LGA,214,1/6/2004,1740,DCA,0,2,6,ontime
LGA,214,1/6/2004,1742,DCA,0,2,6,ontime
LGA,214,1/6/2004,1744,DCA,0,2,6,ontime
LGA,214,1/6/2004,1746,DCA,0,2,6,ontime
LGA,214,1/6/2004,1748,DCA,0,2,6,ontime
LGA,214,1/6/2004,1750,DCA,0,2,6,ontime
LGA,214,1/6/2004,1752,DCA,0,2,6,ontime
LGA,214,1/6/2004,1754,DCA,0,2,6,ontime
LGA,214,1/6/2004,1756,DCA,0,2,6,ontime
LGA,214,1/6/2004,1758,DCA,0,2,6,ontime
LGA,214,1/6/2004,1760,DCA,0,2,6,ontime
LGA,214,1/6/2004,1762,DCA,0,2,6,ontime
LGA,214,1/6/2004,1764,DCA,0,2,6,ontime
LGA,214,1/6/2004,1766,DCA,0,2,6,ontime
LGA,214,1/6/2004,1768,DCA,0,2,6,ontime
JFK,213,1/6/2004,4752,DCA,0,2,6,ontime
JFK,213,1/6/2004,4760,DCA,0,2,6,ontime
JFK,213,1/6/2004,4784,DCA,0,2,6,ontime
LGA,214,1/6/2004,4952,DCA,0,2,6,ontime
LGA,214,1/6/2004,4954,DCA,0,2,6,ontime
LGA,214,1/6/2004,4956,DCA,0,2,6,ontime
LGA,214,1/6/2004,4960,DCA,0,2,6,ontime
LGA,214,1/6/2004,4964,DCA,0,2,6,ontime
LGA,214,1/6/2004,4966,DCA,0,2,6,ontime
LGA,214,1/6/2004,4968,DCA,0,2,6,delayed
LGA,214,1/6/2004,4970,DCA,0,2,6,ontime
LGA,214,1/6/2004,4972,DCA,0,2,6,ontime
LGA,214,1/6/2004,4976,DCA,0,2,6,ontime
LGA,229,1/6/2004,846,IAD,0,2,6,ontime
LGA,214,1/6/2004,1479,DCA,0,2,6,ontime
LGA,214,1/6/2004,2160,DCA,0,2,6,ontime
LGA,214,1/6/2004,2162,DCA,0,2,6,ontime
LGA,214,1/6/2004,2164,DCA,0,2,6,ontime
LGA,214,1/6/2004,2166,DCA,0,2,6,ontime
LGA,214,1/6/2004,2168,DCA,0,2,6,ontime
LGA,214,1/6/2004,2170,DCA,0,2,6,ontime
LGA,214,1/6/2004,2172,DCA,0,2,6,ontime
LGA,214,1/6/2004,2174,DCA,0,2,6,ontime
LGA,214,1/6/2004,2176,DCA,0,2,6,ontime
LGA,214,1/6/2004,2178,DCA,0,2,6,ontime
LGA,214,1/6/2004,2180,DCA,0,2,6,ontime
LGA,214,1/6/2004,2182,DCA,0,2,6,ontime
LGA,214,1/6/2004,2184,DCA,0,2,6,ontime
LGA,214,1/6/2004,2186,DCA,0,2,6,ontime
LGA,214,1/6/2004,2188,DCA,0,2,6,ontime
EWR,169,1/6/2004,2403,BWI,0,2,6,ontime
EWR,169,1/6/2004,3372,BWI,0,2,6,delayed
EWR,169,1/6/2004,2703,BWI,0,2,6,ontime
EWR,169,1/6/2004,2303,BWI,0,2,6,ontime
EWR,199,1/6/2004,814,DCA,0,2,6,delayed
EWR,199,1/6/2004,808,DCA,0,2,6,ontime
EWR,199,1/6/2004,816,DCA,0,2,6,delayed
EWR,199,1/6/2004,806,DCA,0,2,6,ontime
EWR,213,1/6/2004,7299,IAD,0,2,6,ontime
EWR,213,1/6/2004,7302,IAD,0,2,6,ontime
EWR,213,1/6/2004,7303,IAD,0,2,6,ontime
EWR,213,1/6/2004,7304,IAD,0,2,6,ontime
EWR,213,1/6/2004,7307,IAD,0,2,6,ontime
EWR,213,1/6/2004,7371,IAD,0,2,6,ontime
EWR,199,1/6/2004,2879,DCA,0,2,6,delayed
EWR,199,1/6/2004,2582,DCA,0,2,6,ontime
EWR,213,1/6/2004,2385,IAD,0,2,6,delayed
EWR,213,1/6/2004,2156,IAD,0,2,6,ontime
EWR,213,1/6/2004,2855,IAD,0,2,6,ontime
EWR,199,1/6/2004,2261,DCA,0,2,6,delayed
EWR,213,1/6/2004,2367,IAD,0,2,6,ontime
EWR,199,1/6/2004,2216,DCA,0,2,6,ontime
EWR,213,1/6/2004,2497,IAD,0,2,6,ontime
EWR,199,1/6/2004,2181,DCA,0,2,6,ontime
EWR,199,1/6/2004,2761,DCA,0,2,6,ontime
JFK,184,1/7/2004,5935,BWI,0,3,7,ontime
JFK,213,1/7/2004,6155,DCA,0,3,7,ontime
LGA,229,1/7/2004,7208,IAD,0,3,7,ontime
LGA,229,1/7/2004,7211,IAD,0,3,7,ontime
LGA,229,1/7/2004,7215,IAD,0,3,7,delayed
LGA,229,1/7/2004,7790,IAD,0,3,7,ontime
LGA,229,1/7/2004,7792,IAD,0,3,7,ontime
JFK,228,1/7/2004,7800,IAD,0,3,7,ontime
JFK,228,1/7/2004,7806,IAD,0,3,7,ontime
JFK,228,1/7/2004,7808,IAD,0,3,7,ontime
JFK,228,1/7/2004,7810,IAD,0,3,7,ontime
JFK,228,1/7/2004,7812,IAD,0,3,7,delayed
JFK,228,1/7/2004,7814,IAD,0,3,7,ontime
JFK,228,1/7/2004,7816,IAD,0,3,7,ontime
JFK,213,1/7/2004,746,DCA,0,3,7,ontime
LGA,214,1/7/2004,1740,DCA,0,3,7,ontime
LGA,214,1/7/2004,1744,DCA,0,3,7,ontime
LGA,214,1/7/2004,1746,DCA,0,3,7,ontime
LGA,214,1/7/2004,1748,DCA,0,3,7,ontime
LGA,214,1/7/2004,1750,DCA,0,3,7,ontime
LGA,214,1/7/2004,1752,DCA,0,3,7,ontime
LGA,214,1/7/2004,1754,DCA,0,3,7,ontime
LGA,214,1/7/2004,1756,DCA,0,3,7,ontime
LGA,214,1/7/2004,1758,DCA,0,3,7,ontime
LGA,214,1/7/2004,1760,DCA,0,3,7,ontime
LGA,214,1/7/2004,1762,DCA,0,3,7,ontime
LGA,214,1/7/2004,1764,DCA,0,3,7,ontime
LGA,214,1/7/2004,1766,DCA,0,3,7,ontime
LGA,214,1/7/2004,1768,DCA,0,3,7,ontime
JFK,213,1/7/2004,4752,DCA,0,3,7,ontime
JFK,213,1/7/2004,4760,DCA,0,3,7,ontime
JFK,213,1/7/2004,4784,DCA,0,3,7,delayed
LGA,214,1/7/2004,4952,DCA,0,3,7,ontime
LGA,214,1/7/2004,4954,DCA,0,3,7,ontime
LGA,214,1/7/2004,4956,DCA,0,3,7,ontime
LGA,214,1/7/2004,4960,DCA,0,3,7,ontime
LGA,214,1/7/2004,4964,DCA,0,3,7,ontime
LGA,214,1/7/2004,4966,DCA,0,3,7,ontime
LGA,214,1/7/2004,4968,DCA,0,3,7,delayed
LGA,214,1/7/2004,4970,DCA,0,3,7,delayed
LGA,214,1/7/2004,4976,DCA,0,3,7,delayed
LGA,229,1/7/2004,846,IAD,0,3,7,ontime
LGA,214,1/7/2004,1479,DCA,0,3,7,ontime
LGA,214,1/7/2004,2160,DCA,0,3,7,ontime
LGA,214,1/7/2004,2162,DCA,0,3,7,ontime
LGA,214,1/7/2004,2164,DCA,0,3,7,ontime
LGA,214,1/7/2004,2166,DCA,0,3,7,ontime
LGA,214,1/7/2004,2168,DCA,0,3,7,ontime
LGA,214,1/7/2004,2170,DCA,0,3,7,ontime
LGA,214,1/7/2004,2172,DCA,0,3,7,ontime
LGA,214,1/7/2004,2174,DCA,0,3,7,ontime
LGA,214,1/7/2004,2176,DCA,0,3,7,delayed
LGA,214,1/7/2004,2178,DCA,0,3,7,delayed
LGA,214,1/7/2004,2180,DCA,0,3,7,ontime
LGA,214,1/7/2004,2182,DCA,0,3,7,ontime
LGA,214,1/7/2004,2184,DCA,0,3,7,ontime
LGA,214,1/7/2004,2186,DCA,0,3,7,delayed
LGA,214,1/7/2004,2188,DCA,0,3,7,ontime
EWR,169,1/7/2004,2703,BWI,0,3,7,ontime
EWR,169,1/7/2004,2403,BWI,0,3,7,ontime
EWR,169,1/7/2004,3372,BWI,0,3,7,delayed
EWR,169,1/7/2004,2303,BWI,0,3,7,delayed
EWR,199,1/7/2004,808,DCA,0,3,7,ontime
EWR,199,1/7/2004,816,DCA,0,3,7,delayed
EWR,199,1/7/2004,814,DCA,0,3,7,delayed
EWR,199,1/7/2004,806,DCA,0,3,7,ontime
EWR,213,1/7/2004,7299,IAD,0,3,7,ontime
EWR,213,1/7/2004,7302,IAD,0,3,7,ontime
EWR,213,1/7/2004,7303,IAD,0,3,7,delayed
EWR,213,1/7/2004,7304,IAD,0,3,7,ontime
EWR,213,1/7/2004,7305,IAD,0,3,7,ontime
EWR,213,1/7/2004,7307,IAD,0,3,7,ontime
EWR,199,1/7/2004,2216,DCA,0,3,7,ontime
EWR,213,1/7/2004,2855,IAD,0,3,7,delayed
EWR,213,1/7/2004,2156,IAD,0,3,7,delayed
EWR,199,1/7/2004,2582,DCA,0,3,7,ontime
